Student ID,Age,Gender,Academic Performance (GPA),Study Hours Per Week,Social Media Usage (Hours per day),Sleep Duration (Hours per night),Physical Exercise (Hours per week),Family Support,Financial Stress,Peer Pressure,Relationship Stress,Mental Stress Level,Counseling Attendance,Diet Quality,Stress Coping Mechanisms,Cognitive Distortions,Family Mental Health History,Medical Condition,Substance Use
482-19-3391,21,Male,3.13,27.0,6.9,5.3,3.0,5,5,2,3,5,No,5,"Journaling, Exercise",2,Yes,No,1
725-20-8354,21,Female,3.18,32.0,1.3,7.0,8.9,1,4,3,2,6,No,4,"Journaling, Family Interaction",2,No,No,3
381-57-2885,19,Genderqueer,3.12,21.0,5.4,7.9,5.1,2,1,3,1,5,No,3,"Meditation, Family Interaction",5,Yes,No,2
415-38-9662,22,Female,3.22,30.0,2.8,6.8,1.4,5,4,4,2,6,No,1,"Meditation, Exercise",2,Yes,Yes,1
513-29-6152,22,Male,3.56,22.0,7.4,10.0,3.9,5,3,1,1,4,No,2,"Journaling, Meditation",2,Yes,Yes,4
788-65-2738,23,Male,3.0,32.0,8.0,4.8,4.1,3,2,5,4,6,No,5,"Family Interaction, Journaling",4,No,Yes,2
565-85-9492,23,Male,3.25,31.0,2.5,8.1,5.4,4,1,4,4,6,No,1,"Family Interaction, Exercise",3,No,No,2
543-17-1815,18,Bigender,2.86,16.0,2.9,6.6,0.0,3,3,2,5,6,Yes,2,"Family Interaction, Meditation",1,Yes,Yes,1
463-90-8517,19,Male,3.62,36.0,5.7,7.7,5.8,2,1,2,2,5,Yes,3,"Journaling, Exercise",3,No,No,2
764-31-6447,22,Female,2.56,20.0,3.2,7.3,0.0,5,5,2,2,5,Yes,4,"Meditation, Journaling",2,Yes,No,3
462-74-2046,22,Male,3.8,33.0,3.9,5.9,2.1,3,4,4,1,5,No,5,"Family Interaction, Meditation",5,No,Yes,2
694-39-2032,22,Male,2.88,29.0,4.1,7.1,2.5,4,5,5,4,7,Yes,3,"Excessive Screen Time, Overthinking",1,Yes,No,5
655-55-0209,29,Female,2.18,43.0,0.2,4.6,5.9,2,2,3,1,5,No,2,"Meditation, Journaling",1,Yes,No,3
127-94-0301,22,Bigender,2.96,23.0,4.0,7.5,4.1,1,5,1,4,6,No,5,"Meditation, Family Interaction",5,Yes,Yes,1
725-31-2595,23,Male,2.56,22.0,2.6,7.2,0.0,3,1,3,1,5,No,1,"Meditation, Family Interaction",1,No,Yes,3
685-28-8610,23,Female,3.32,25.0,3.0,7.6,1.0,2,5,5,4,7,Yes,4,"Isolation, Excessive Screen Time",5,Yes,No,5
729-30-6560,22,Female,2.57,22.0,6.9,8.1,4.6,1,1,3,1,5,No,2,"Exercise, Meditation",1,No,Yes,5
821-31-0994,20,Male,2.68,33.0,1.5,7.2,3.8,3,2,4,4,6,No,4,"Journaling, Exercise",3,No,No,2
814-81-7401,23,Genderqueer,1.96,9.0,5.6,7.0,2.3,2,5,2,1,5,No,5,"Exercise, Meditation",1,No,No,2
102-53-4424,19,Female,2.67,14.0,3.4,5.7,2.6,2,4,5,2,7,Yes,3,"Isolation, Excessive Screen Time",4,No,Yes,4
383-92-3685,21,Female,1.69,14.0,3.4,5.9,6.1,3,4,5,5,7,No,4,"Excessive Screen Time, Overthinking",5,No,No,3
421-67-5430,20,Female,2.11,35.0,5.6,8.2,2.4,2,4,3,1,6,No,1,"Meditation, Exercise",1,Yes,No,4
402-01-4786,21,Male,3.28,42.0,4.7,8.5,3.7,5,5,4,5,7,Yes,2,"Excessive Screen Time, Overthinking",5,Yes,No,5
412-84-5105,26,Female,3.29,24.0,5.1,6.5,10.5,3,5,3,2,7,Yes,1,"Substance Use, Excessive Screen Time",4,No,No,2
200-18-7013,18,Male,3.11,23.0,5.9,6.9,0.0,2,5,3,2,6,No,4,"Meditation, Family Interaction",1,Yes,Yes,2
370-21-5479,22,Male,2.42,26.0,3.3,5.7,0.0,1,1,5,4,7,Yes,3,"Substance Use, Isolation",1,No,Yes,2
208-12-7999,18,Genderfluid,2.88,37.0,2.8,8.2,6.4,1,2,3,5,7,Yes,3,"Overthinking, Excessive Screen Time",4,Yes,No,1
419-54-4414,20,Female,2.9,16.0,1.8,7.6,2.0,5,4,2,3,6,No,1,"Meditation, Exercise",4,No,No,5
622-57-6873,23,Female,2.32,27.0,2.3,9.1,3.0,3,1,3,4,5,No,5,"Journaling, Meditation",4,No,No,2
808-35-0942,21,Male,3.65,35.0,9.9,5.7,1.7,2,4,2,5,6,No,5,"Exercise, Journaling",5,Yes,No,5
616-73-2063,19,Male,3.34,30.0,6.5,6.3,3.2,2,1,5,1,5,No,3,"Family Interaction, Journaling",4,No,No,2
196-48-5751,20,Male,2.79,27.0,1.3,7.1,8.8,1,5,4,1,7,Yes,1,"Excessive Screen Time, Isolation",5,Yes,No,3
189-42-4201,22,Male,2.91,35.0,1.4,7.6,6.4,5,4,2,2,5,No,1,"Exercise, Family Interaction",3,No,Yes,5
678-35-5150,20,Male,3.0,0.0,5.0,6.5,6.6,1,5,4,3,8,Yes,1,"Excessive Screen Time, Substance Use",1,Yes,No,4
275-55-2472,21,Female,1.88,32.0,5.1,5.8,0.0,1,4,4,1,6,No,4,"Journaling, Family Interaction",1,Yes,Yes,1
888-10-9349,21,Male,2.78,18.0,5.1,7.9,0.5,5,3,2,5,5,No,5,"Exercise, Meditation",2,No,No,4
621-13-0774,20,Female,2.56,7.0,3.5,7.7,0.0,3,1,5,5,6,No,5,"Journaling, Exercise",3,Yes,Yes,5
303-77-3078,25,Male,2.4,30.0,3.7,5.7,1.6,2,3,1,1,4,No,4,"Meditation, Journaling",4,No,No,2
774-08-5222,22,Non-binary,2.76,39.0,4.7,8.4,6.9,3,1,4,5,6,No,2,"Exercise, Journaling",4,No,Yes,5
822-73-2624,18,Female,3.8,24.0,4.2,8.2,5.6,4,2,4,5,6,No,4,"Journaling, Family Interaction",3,Yes,No,1
785-05-2183,21,Female,3.22,35.0,0.0,7.0,3.3,4,4,5,2,7,No,1,"Substance Use, Isolation",4,Yes,Yes,5
746-44-5218,20,Male,2.61,41.0,3.5,6.9,3.9,4,2,5,3,5,No,4,"Exercise, Family Interaction",2,Yes,No,2
790-99-1933,23,Male,3.19,38.0,2.3,7.5,1.9,5,2,3,2,5,No,1,"Meditation, Exercise",5,No,No,4
284-72-1833,19,Male,3.6,41.0,4.4,5.8,4.6,1,1,5,3,6,Yes,3,"Family Interaction, Meditation",1,Yes,Yes,3
279-07-1790,21,Female,3.36,32.0,10.0,6.8,6.3,3,3,4,5,7,No,1,"Isolation, Overthinking",3,No,No,4
216-93-6804,22,Male,2.93,26.0,4.7,4.2,0.0,2,5,2,3,6,No,5,"Meditation, Exercise",1,Yes,No,2
562-13-2617,23,Female,2.58,9.0,3.4,7.9,4.9,4,1,1,5,4,No,4,"Family Interaction, Journaling",5,Yes,No,2
267-41-4726,19,Male,3.25,23.0,5.8,4.9,6.8,3,5,3,5,8,Yes,1,"Substance Use, Excessive Screen Time",3,No,Yes,1
240-79-0966,20,Female,3.1,17.0,5.0,8.6,2.8,4,2,2,2,5,Yes,2,"Family Interaction, Exercise",5,No,No,5
332-97-6557,20,Non-binary,3.35,47.0,4.8,6.4,6.1,4,5,1,2,5,No,3,"Family Interaction, Journaling",4,Yes,Yes,5
359-59-5634,20,Polygender,3.22,23.0,5.2,6.5,12.4,2,3,1,4,6,No,2,"Family Interaction, Exercise",4,No,No,4
652-47-2230,25,Female,3.42,26.0,8.1,6.0,3.7,5,1,1,1,3,Yes,2,"Family Interaction, Journaling",4,No,Yes,3
823-28-1778,22,Non-binary,2.63,31.0,1.7,6.5,5.2,1,3,2,4,7,Yes,2,"Overthinking, Substance Use",5,Yes,Yes,3
792-33-0211,18,Male,3.56,25.0,4.9,8.5,1.8,5,3,3,4,5,Yes,3,"Meditation, Journaling",5,Yes,Yes,1
719-03-2622,23,Female,3.0,42.0,2.1,3.8,4.5,3,1,3,3,5,No,3,"Meditation, Exercise",5,No,Yes,2
532-25-8114,25,Female,3.94,19.0,5.1,8.3,5.4,5,3,1,5,5,No,3,"Exercise, Meditation",1,No,No,1
662-04-7364,23,Female,2.56,27.0,2.2,7.2,4.6,3,4,2,5,6,No,3,"Journaling, Meditation",5,No,No,5
894-36-7236,18,Female,3.77,18.0,3.2,5.4,0.9,3,4,1,5,6,No,2,"Meditation, Family Interaction",4,No,No,2
731-27-1490,20,Non-binary,3.0,12.0,3.4,5.5,4.6,1,4,5,1,6,No,5,"Journaling, Family Interaction",2,No,No,1
669-90-1482,24,Male,2.57,19.0,6.0,8.8,8.4,2,5,3,3,6,No,5,"Family Interaction, Exercise",5,Yes,No,4
440-16-4165,20,Male,2.66,25.0,5.8,5.7,5.3,1,3,4,3,7,Yes,3,"Substance Use, Isolation",2,No,No,5
251-96-3634,22,Female,2.74,21.0,1.5,5.4,6.9,5,1,1,5,4,No,4,"Meditation, Exercise",4,Yes,Yes,3
181-12-1436,23,Male,3.11,18.0,4.1,8.2,3.3,3,1,5,4,7,Yes,1,"Overthinking, Excessive Screen Time",5,No,No,1
765-85-9339,19,Male,3.16,11.0,2.6,7.2,6.2,4,5,3,1,5,No,4,"Family Interaction, Meditation",1,No,No,5
540-74-9445,21,Female,2.61,24.0,1.5,5.7,4.8,4,1,2,4,4,No,4,"Meditation, Family Interaction",1,No,Yes,5
463-46-8616,18,Male,2.89,10.0,3.6,7.1,1.1,3,4,3,2,5,No,4,"Meditation, Family Interaction",2,Yes,Yes,3
860-99-6638,19,Female,3.97,33.0,3.4,5.6,5.0,1,3,2,3,5,No,5,"Exercise, Meditation",1,Yes,Yes,3
472-36-1084,20,Female,3.76,26.0,8.9,8.1,1.0,2,1,2,3,6,No,1,"Journaling, Exercise",1,Yes,No,3
712-51-0033,19,Female,3.12,10.0,4.9,8.1,2.1,1,1,1,4,5,Yes,4,"Journaling, Meditation",1,No,No,1
426-96-1187,24,Female,2.92,22.0,1.2,7.4,4.6,3,2,1,1,4,No,3,"Meditation, Journaling",4,Yes,No,3
198-24-0404,18,Male,2.96,17.0,2.9,7.2,4.9,3,2,3,3,5,No,5,"Meditation, Exercise",1,Yes,Yes,4
231-51-2392,20,Male,3.21,28.0,6.0,8.9,0.4,2,2,5,4,7,Yes,3,"Isolation, Substance Use",3,Yes,Yes,5
504-41-0664,21,Female,2.39,38.0,8.2,6.8,7.2,5,3,3,1,4,Yes,3,"Family Interaction, Exercise",5,Yes,No,3
523-26-1959,24,Male,2.77,6.0,0.8,5.4,5.7,5,4,4,4,6,Yes,4,"Exercise, Journaling",1,Yes,Yes,5
488-87-7169,18,Male,2.07,26.0,0.2,7.3,1.9,2,4,2,1,5,No,3,"Exercise, Journaling",1,Yes,No,2
787-23-6149,23,Male,3.1,23.0,7.7,9.3,0.0,5,4,2,5,6,No,1,"Family Interaction, Exercise",1,Yes,No,2
650-36-5944,21,Male,3.22,32.0,4.8,5.6,3.6,4,3,1,1,4,No,3,"Exercise, Family Interaction",3,No,No,3
850-50-5993,19,Male,2.66,27.0,2.3,6.4,2.7,5,3,5,2,5,No,4,"Meditation, Exercise",1,No,No,5
344-48-6320,22,Male,3.69,17.0,5.1,7.3,4.3,5,2,1,5,5,No,3,"Journaling, Meditation",1,No,Yes,2
267-85-9067,21,Female,2.29,22.0,0.0,6.7,2.9,5,1,4,4,4,No,5,"Meditation, Journaling",5,Yes,Yes,3
445-01-9008,20,Female,2.17,17.0,4.0,5.6,0.0,4,5,3,5,6,Yes,5,"Exercise, Journaling",3,Yes,Yes,5
587-06-7007,21,Female,3.01,36.0,4.7,8.1,2.8,5,5,3,5,6,No,5,"Meditation, Family Interaction",3,No,No,3
412-61-2951,20,Male,3.42,25.0,5.8,9.6,3.1,4,1,5,4,6,No,2,"Meditation, Journaling",1,Yes,Yes,5
895-64-7527,21,Female,3.74,44.0,2.0,7.0,5.9,2,2,1,4,5,Yes,5,"Journaling, Family Interaction",3,No,No,2
634-13-9113,22,Female,2.67,24.0,4.2,5.7,1.9,1,1,1,2,4,No,5,"Exercise, Journaling",2,No,No,3
897-73-6775,24,Female,3.44,18.0,2.1,4.9,9.0,2,1,4,4,6,No,2,"Meditation, Family Interaction",3,Yes,No,2
291-38-6668,19,Male,2.88,10.0,4.5,7.1,0.0,1,5,3,3,6,Yes,5,"Journaling, Meditation",3,Yes,No,3
861-23-4943,25,Male,2.81,7.0,2.2,8.1,7.9,2,2,1,3,5,Yes,4,"Meditation, Exercise",3,Yes,Yes,1
771-43-8087,18,Female,3.34,9.0,3.2,7.4,3.3,1,3,5,2,6,Yes,5,"Exercise, Family Interaction",4,Yes,Yes,2
896-76-6435,21,Female,3.23,28.0,2.0,6.8,6.6,1,5,3,1,6,No,5,"Exercise, Journaling",4,No,No,2
210-48-6696,22,Polygender,2.11,30.0,5.3,6.1,4.2,3,3,4,1,6,No,2,"Meditation, Exercise",4,Yes,Yes,4
590-51-5779,22,Female,3.64,9.0,5.7,5.5,7.4,1,2,5,3,6,No,4,"Journaling, Meditation",3,Yes,Yes,2
857-45-6864,20,Female,3.59,34.0,3.5,7.8,2.8,1,1,2,4,6,No,3,"Exercise, Journaling",2,No,No,5
146-61-2919,21,Male,2.59,20.0,4.1,7.9,0.7,3,4,4,2,7,Yes,1,"Substance Use, Overthinking",3,Yes,No,3
621-24-8028,20,Female,3.1,26.0,1.1,4.9,8.3,5,4,5,1,5,No,4,"Exercise, Journaling",1,Yes,No,1
820-39-6059,20,Female,3.15,41.0,3.4,8.7,3.7,5,2,1,1,3,Yes,3,"Journaling, Meditation",2,Yes,No,5
654-40-1059,23,Genderfluid,3.03,34.0,3.9,7.5,4.7,3,4,2,5,6,No,4,"Family Interaction, Meditation",4,No,No,5
691-34-7594,22,Male,2.62,22.0,9.2,8.5,7.7,4,3,4,3,6,No,3,"Meditation, Journaling",5,No,Yes,5
294-22-0217,20,Male,2.56,16.0,1.8,5.2,0.9,1,4,1,4,6,No,3,"Exercise, Journaling",2,Yes,Yes,5
620-14-3348,23,Male,2.89,3.0,6.9,5.2,5.8,1,2,2,2,5,No,4,"Exercise, Meditation",4,Yes,Yes,1
586-87-3316,22,Female,3.49,18.0,6.0,6.6,2.2,3,2,3,1,5,Yes,2,"Exercise, Meditation",2,Yes,No,4
195-34-6537,23,Female,3.17,23.0,4.6,7.4,3.6,3,3,1,5,5,No,4,"Exercise, Journaling",2,No,Yes,2
606-64-6926,22,Female,2.71,15.0,7.5,9.0,4.2,4,4,5,3,6,No,4,"Journaling, Meditation",3,No,No,5
390-91-0103,19,Female,3.29,24.0,4.7,7.6,0.0,5,4,4,3,6,No,3,"Exercise, Meditation",1,Yes,Yes,2
366-36-9831,20,Female,1.48,26.0,4.8,6.5,1.7,2,1,2,2,5,No,1,"Exercise, Journaling",5,Yes,Yes,2
478-75-3530,22,Male,3.47,23.0,3.9,5.6,8.1,5,5,1,1,4,No,3,"Journaling, Meditation",4,No,Yes,5
140-30-3552,22,Female,2.03,18.0,6.4,8.3,6.7,1,2,3,2,5,No,5,"Journaling, Meditation",2,Yes,Yes,4
506-21-6440,21,Female,2.72,27.0,6.2,5.6,3.8,3,1,4,2,5,No,4,"Meditation, Journaling",5,No,Yes,2
620-66-8893,21,Female,2.34,29.0,2.7,8.8,4.7,4,2,4,5,6,No,4,"Family Interaction, Exercise",2,Yes,No,3
586-34-3444,24,Female,2.25,14.0,1.4,6.5,3.1,5,1,1,3,4,No,2,"Exercise, Journaling",1,Yes,No,2
605-15-7413,20,Male,3.48,39.0,3.6,8.7,8.1,4,5,3,4,6,No,3,"Family Interaction, Meditation",5,No,No,5
367-45-6616,22,Female,2.67,24.0,2.4,7.6,3.4,5,1,2,3,4,No,2,"Journaling, Exercise",4,Yes,No,1
126-08-5321,21,Male,3.07,25.0,3.9,6.6,4.7,1,2,1,3,5,No,4,"Family Interaction, Meditation",2,No,Yes,2
318-60-4312,21,Female,2.88,32.0,6.5,6.2,7.4,2,4,2,5,7,No,3,"Overthinking, Substance Use",1,No,No,4
487-96-1364,23,Female,3.14,27.0,3.1,6.4,1.7,4,2,4,4,6,Yes,3,"Exercise, Family Interaction",5,Yes,Yes,3
264-63-9878,23,Bigender,2.94,35.0,3.9,7.3,8.7,4,3,2,1,4,No,5,"Journaling, Meditation",2,Yes,No,3
472-15-8341,23,Female,2.26,28.0,4.1,6.9,0.0,2,3,3,4,6,No,5,"Meditation, Journaling",2,No,Yes,1
540-08-7969,24,Female,3.4,19.0,5.7,6.1,8.9,4,3,5,1,6,No,1,"Journaling, Meditation",4,Yes,Yes,1
139-17-3617,21,Female,2.65,29.0,0.0,6.6,2.9,4,3,3,4,5,No,5,"Exercise, Meditation",1,No,No,2
770-07-2386,22,Male,2.12,14.0,2.8,6.9,3.3,5,5,2,2,5,No,3,"Family Interaction, Exercise",3,No,Yes,5
233-88-7541,20,Female,2.69,26.0,4.4,4.2,0.0,5,4,1,4,4,No,5,"Journaling, Family Interaction",2,Yes,Yes,4
758-45-8170,22,Female,3.65,25.0,6.4,7.3,2.6,2,4,4,5,8,No,1,"Substance Use, Isolation",5,Yes,Yes,3
216-56-3702,21,Bigender,3.33,23.0,3.0,5.6,0.9,1,2,5,1,6,No,4,"Meditation, Exercise",4,Yes,Yes,1
526-42-6686,21,Male,2.73,24.0,0.2,5.4,2.2,4,1,1,3,3,No,5,"Meditation, Journaling",4,Yes,No,4
726-02-8928,22,Female,2.73,6.0,5.2,4.8,3.6,1,2,1,5,6,No,3,"Exercise, Family Interaction",2,Yes,Yes,5
409-15-5570,19,Male,2.74,20.0,2.7,4.6,6.9,2,2,3,1,5,No,4,"Meditation, Family Interaction",2,Yes,Yes,3
871-72-2085,25,Male,3.94,26.0,1.6,5.2,4.6,2,2,2,1,5,No,3,"Exercise, Family Interaction",2,No,No,3
711-96-0039,19,Female,3.09,27.0,2.8,5.9,4.9,5,2,3,3,4,Yes,4,"Meditation, Journaling",3,Yes,Yes,5
629-74-5325,19,Female,3.12,15.0,3.6,9.1,0.7,4,4,2,2,5,No,3,"Exercise, Journaling",2,No,No,3
191-76-1176,23,Agender,3.42,38.0,2.8,6.2,1.4,3,1,3,5,5,No,5,"Family Interaction, Exercise",1,Yes,Yes,5
511-19-9689,23,Female,3.02,16.0,0.0,7.0,9.4,2,2,1,3,4,No,5,"Meditation, Journaling",5,No,Yes,3
817-56-1216,22,Agender,2.77,35.0,5.8,7.3,1.8,4,4,4,3,7,Yes,1,"Excessive Screen Time, Isolation",2,No,Yes,2
890-06-6056,22,Male,2.8,29.0,6.5,7.0,9.0,1,2,2,2,5,No,4,"Family Interaction, Journaling",3,No,Yes,5
568-72-9492,21,Female,2.86,19.0,5.3,6.7,3.3,5,3,5,5,7,No,1,"Substance Use, Excessive Screen Time",5,No,Yes,4
445-18-5494,19,Male,2.88,43.0,1.7,5.4,4.0,1,2,5,3,7,Yes,2,"Substance Use, Isolation",4,Yes,Yes,2
323-01-0451,21,Female,3.26,13.0,3.6,8.5,7.2,2,2,1,2,4,No,5,"Exercise, Meditation",2,Yes,Yes,4
360-64-8328,20,Male,2.93,34.0,4.0,9.0,7.8,2,5,3,5,7,Yes,4,"Isolation, Substance Use",5,No,No,3
365-22-3619,23,Female,3.27,35.0,5.2,4.8,3.7,1,3,3,4,7,Yes,1,"Substance Use, Isolation",4,No,Yes,4
565-92-5987,21,Male,2.86,18.0,5.3,5.6,2.8,2,1,1,1,5,No,1,"Family Interaction, Journaling",3,No,Yes,2
774-41-4155,19,Male,2.94,39.0,2.5,6.5,3.8,4,2,5,2,6,No,2,"Family Interaction, Meditation",1,Yes,Yes,5
865-88-4728,20,Female,1.9,22.0,4.2,5.6,5.0,2,1,5,1,6,No,1,"Family Interaction, Exercise",2,Yes,Yes,1
140-37-3029,22,Male,3.36,28.0,4.9,7.4,6.7,5,3,3,4,5,No,3,"Family Interaction, Exercise",1,Yes,No,4
221-70-4223,20,Male,3.07,28.0,6.9,5.9,4.0,4,2,2,3,4,No,5,"Exercise, Journaling",3,No,No,1
729-02-5651,19,Female,3.4,24.0,5.4,9.4,5.9,3,5,4,3,7,No,1,"Substance Use, Excessive Screen Time",5,Yes,Yes,4
765-72-6831,21,Male,1.45,33.0,5.6,8.2,8.9,2,4,2,5,7,No,1,"Excessive Screen Time, Substance Use",5,No,Yes,4
704-34-2747,21,Female,3.94,33.0,4.2,7.1,5.1,2,5,5,2,7,No,2,"Excessive Screen Time, Overthinking",3,No,Yes,5
690-93-7394,20,Male,2.83,8.0,6.8,8.0,4.9,5,5,2,2,5,Yes,3,"Exercise, Meditation",3,Yes,Yes,3
487-69-5401,20,Female,3.45,38.0,4.8,8.1,0.0,5,4,4,5,7,Yes,1,"Substance Use, Overthinking",2,No,Yes,2
207-60-0958,21,Male,2.38,8.0,2.3,6.1,0.0,1,4,2,1,5,No,5,"Family Interaction, Journaling",4,Yes,No,2
869-02-9564,18,Male,3.21,35.0,6.8,5.8,5.2,1,4,2,3,6,No,5,"Exercise, Meditation",1,No,No,2
447-11-5816,18,Male,2.37,36.0,5.4,6.9,3.7,1,2,2,3,6,No,1,"Family Interaction, Exercise",1,Yes,Yes,3
228-62-9891,20,Male,2.59,14.0,3.1,7.8,2.5,5,1,2,2,4,No,3,"Family Interaction, Exercise",5,Yes,No,1
713-31-0160,21,Female,3.86,21.0,3.0,7.0,4.7,1,1,1,2,4,No,5,"Family Interaction, Journaling",5,Yes,No,2
536-46-2617,22,Genderfluid,2.8,14.0,4.6,4.9,3.8,1,4,5,5,7,No,5,"Isolation, Substance Use",2,No,No,1
234-47-0088,24,Male,3.01,23.0,4.9,5.8,7.4,3,5,4,4,7,Yes,3,"Excessive Screen Time, Overthinking",3,No,Yes,3
701-16-4276,23,Male,3.34,22.0,4.4,6.7,4.3,1,3,5,1,6,No,3,"Family Interaction, Exercise",1,No,No,3
436-21-2987,21,Male,3.15,33.0,4.6,6.7,1.8,2,4,1,4,7,No,1,"Isolation, Substance Use",2,No,Yes,5
688-07-0382,21,Male,2.98,38.0,7.4,9.2,7.0,5,5,1,4,5,Yes,4,"Exercise, Family Interaction",5,No,No,2
421-55-9607,19,Female,3.08,39.0,6.1,5.1,3.3,4,5,1,2,5,No,2,"Family Interaction, Journaling",5,No,No,5
615-79-8440,21,Female,4.0,19.0,4.4,7.4,5.6,3,2,1,2,4,No,4,"Journaling, Family Interaction",1,Yes,No,2
450-60-6395,20,Male,2.87,23.0,5.9,8.6,2.6,5,2,2,2,4,No,4,"Journaling, Exercise",5,Yes,Yes,3
118-06-0554,22,Male,3.0,8.0,1.9,9.5,2.1,5,1,5,4,5,No,5,"Family Interaction, Exercise",5,No,No,3
343-91-1894,19,Female,3.43,17.0,4.8,6.3,4.3,2,1,3,1,5,No,3,"Family Interaction, Journaling",4,No,No,4
438-76-7174,22,Female,3.45,35.0,7.6,7.4,4.0,1,3,4,2,6,No,5,"Family Interaction, Meditation",3,Yes,No,4
221-35-2318,24,Female,3.49,41.0,3.6,7.5,5.4,2,3,1,3,6,Yes,2,"Exercise, Family Interaction",5,Yes,No,3
864-86-1546,21,Male,3.22,13.0,2.3,7.0,3.2,1,3,5,1,7,No,1,"Isolation, Excessive Screen Time",4,No,Yes,3
778-29-7908,22,Male,2.33,19.0,2.7,6.7,0.0,1,3,1,3,6,Yes,2,"Meditation, Journaling",2,No,Yes,1
288-35-3562,22,Female,3.72,25.0,1.8,7.3,2.7,5,5,1,1,4,No,5,"Family Interaction, Journaling",5,No,Yes,1
114-30-7352,20,Female,2.33,28.0,2.4,3.8,6.4,1,5,1,2,5,No,5,"Family Interaction, Meditation",2,Yes,Yes,5
320-25-0987,21,Female,3.05,17.0,3.3,7.6,3.1,3,1,1,5,4,No,5,"Family Interaction, Journaling",5,No,No,4
437-86-5614,21,Female,2.52,29.0,1.2,7.0,3.3,3,2,1,2,4,No,5,"Meditation, Journaling",1,No,Yes,4
481-51-4441,21,Female,2.87,20.0,4.0,6.5,7.0,3,2,4,4,6,No,4,"Exercise, Meditation",4,Yes,Yes,3
148-57-6730,19,Male,3.06,25.0,5.8,9.3,1.9,5,4,5,4,7,No,1,"Substance Use, Isolation",4,Yes,Yes,3
254-22-6665,21,Female,3.06,30.0,2.2,6.0,0.0,2,5,1,1,5,No,4,"Journaling, Exercise",1,No,No,5
845-38-6519,22,Polygender,3.11,25.0,7.0,6.3,3.5,4,3,1,4,4,No,5,"Exercise, Journaling",3,No,No,4
379-65-0243,24,Female,3.71,21.0,5.0,9.2,2.5,1,3,1,2,5,No,3,"Exercise, Family Interaction",4,Yes,No,1
522-34-7284,23,Female,3.13,24.0,6.1,5.8,1.1,4,4,1,3,5,No,4,"Journaling, Family Interaction",2,Yes,No,2
565-02-4043,25,Male,2.78,24.0,2.7,6.1,3.5,2,2,2,2,4,No,5,"Exercise, Journaling",4,No,No,5
145-37-1963,19,Agender,3.38,21.0,5.7,6.6,5.5,2,3,2,1,4,No,5,"Family Interaction, Journaling",3,Yes,Yes,2
122-25-1925,23,Female,3.49,22.0,1.8,7.8,4.0,5,2,3,4,6,Yes,1,"Family Interaction, Journaling",2,Yes,No,1
393-27-3064,21,Female,2.29,41.0,5.8,7.0,4.9,3,4,1,3,6,No,2,"Family Interaction, Meditation",2,Yes,Yes,1
705-52-8566,25,Female,3.2,31.0,4.3,5.2,9.4,3,2,3,5,6,No,4,"Exercise, Family Interaction",1,No,No,2
699-31-2060,19,Female,3.25,22.0,5.1,6.2,3.0,2,2,4,3,6,No,4,"Exercise, Meditation",5,Yes,Yes,5
221-29-3352,19,Male,2.75,32.0,1.6,6.1,4.8,5,2,3,3,4,No,4,"Family Interaction, Meditation",1,No,No,2
171-13-5095,20,Female,3.59,22.0,2.2,6.7,2.5,5,3,5,2,5,No,5,"Journaling, Meditation",5,Yes,No,5
656-32-4795,18,Male,2.82,37.0,5.2,7.3,1.5,1,1,2,5,7,Yes,1,"Substance Use, Overthinking",1,No,No,5
645-66-4118,20,Male,2.96,29.0,2.1,7.3,2.2,3,5,2,1,5,No,5,"Meditation, Exercise",5,No,Yes,3
288-67-2367,19,Female,2.81,24.0,4.9,4.7,2.6,2,2,1,1,4,No,5,"Exercise, Meditation",4,No,Yes,4
420-20-2196,21,Bigender,2.91,29.0,1.3,8.1,5.1,4,2,1,3,4,Yes,3,"Journaling, Family Interaction",2,No,Yes,4
615-50-9853,22,Male,2.35,9.0,5.7,7.1,11.0,3,2,4,3,6,Yes,1,"Journaling, Meditation",5,No,Yes,1
518-71-3190,25,Female,2.18,14.0,1.5,8.5,1.9,1,1,4,4,6,No,4,"Meditation, Family Interaction",4,Yes,Yes,3
420-91-7446,23,Female,3.7,13.0,5.1,7.3,2.8,5,4,5,5,7,Yes,2,"Isolation, Substance Use",3,No,No,4
557-78-4588,20,Male,2.48,26.0,5.3,8.1,3.8,2,3,1,3,5,No,4,"Meditation, Journaling",1,No,No,5
203-94-0930,19,Male,2.4,42.0,2.6,7.4,5.2,3,1,1,4,4,No,5,"Meditation, Family Interaction",3,No,Yes,5
328-33-1314,22,Female,1.82,47.0,5.2,8.4,4.8,4,2,4,5,7,Yes,1,"Isolation, Substance Use",4,Yes,No,2
806-02-8150,18,Male,2.58,31.0,4.5,7.4,7.9,1,1,4,1,6,No,1,"Family Interaction, Exercise",3,No,No,2
282-41-7702,25,Female,2.24,30.0,2.9,6.7,0.0,1,1,4,4,7,No,1,"Substance Use, Excessive Screen Time",3,No,No,5
754-90-7661,23,Male,3.72,7.0,2.0,9.5,0.0,3,1,2,5,5,No,3,"Exercise, Family Interaction",4,Yes,No,5
571-09-2803,20,Male,3.4,20.0,0.1,7.9,2.5,4,4,3,4,6,No,4,"Meditation, Family Interaction",2,No,Yes,2
